benchmark;environment;processed_gc_log_file_count;stw_pause_count;total_stw_ms;stw_overhead_percent;steady_state_start_s;steady_state_end_s;steady_state_wall_clock_span_ms;iteration_total_duration_ms;min_gc_uptime_s_in_steady_state_window;max_gc_uptime_s_in_steady_state_window;category_pause_cleanup_count;category_pause_cleanup_ms;category_pause_mark_end_count;category_pause_mark_end_ms;category_pause_mark_start_count;category_pause_mark_start_ms;category_pause_relocate_start_count;category_pause_relocate_start_ms;category_pause_remark_count;category_pause_remark_ms;category_pause_young_count;category_pause_young_ms
future-genetic;G1GC-Java-21;22;807.108000;0.267076;;;;;;;;;;;;;;;;;;;
future-genetic;G1GC-Java-25;23;932.401000;0.308005;;;;;;;;;;;;;;;;;;;
future-genetic;ZGC-Java-21;30;0.855000;0.000282;;;;;;;;;;;;;;;;;;;
future-genetic;ZGC-Java-25;30;0.829000;0.000273;;;;;;;;;;;;;;;;;;;
gauss-mix;G1GC-Java-21;26;1773.022000;0.566901;;;;;;;;;;;;;;;;;;;
gauss-mix;G1GC-Java-25;23;1547.218000;0.486548;;;;;;;;;;;;;;;;;;;
gauss-mix;ZGC-Java-21;8;0.134000;0.000043;;;;;;;;;;;;;;;;;;;
gauss-mix;ZGC-Java-25;8;0.175000;0.000055;;;;;;;;;;;;;;;;;;;
log-regression;G1GC-Java-21;28;2127.932000;0.688038;;;;;;;;;;;;;;;;;;;
log-regression;G1GC-Java-25;20;1608.544000;0.519949;;;;;;;;;;;;;;;;;;;
log-regression;ZGC-Java-21;15;0.341000;0.000110;;;;;;;;;;;;;;;;;;;
log-regression;ZGC-Java-25;0;0.000000;0.000000;;;;;;;;;;;;;;;;;;;
mnemonics;G1GC-Java-21;44;1777.231000;0.630523;;;;;;;;;;;;;;;;;;;
mnemonics;G1GC-Java-25;44;1767.904000;0.630585;;;;;;;;;;;;;;;;;;;
mnemonics;ZGC-Java-21;19;0.481000;0.000171;;;;;;;;;;;;;;;;;;;
mnemonics;ZGC-Java-25;24;0.567000;0.000200;;;;;;;;;;;;;;;;;;;
movie-lens;G1GC-Java-21;34;1963.426000;0.592903;;;;;;;;;;;;;;;;;;;
movie-lens;G1GC-Java-25;32;1650.026000;0.504502;;;;;;;;;;;;;;;;;;;
movie-lens;ZGC-Java-21;20;0.424000;0.000131;;;;;;;;;;;;;;;;;;;
movie-lens;ZGC-Java-25;17;0.482000;0.000147;;;;;;;;;;;;;;;;;;;
naive-bayes;G1GC-Java-21;37;2475.140000;0.796207;;;;;;;;;;;;;;;;;;;
naive-bayes;G1GC-Java-25;37;2518.474000;0.813233;;;;;;;;;;;;;;;;;;;
naive-bayes;ZGC-Java-21;20;0.573000;0.000184;;;;;;;;;;;;;;;;;;;
naive-bayes;ZGC-Java-25;14;0.524000;0.000169;;;;;;;;;;;;;;;;;;;
neo4j-analytics;G1GC-Java-21;41;1885.946000;0.578765;;;;;;;;;;;;;;;;;;;
neo4j-analytics;G1GC-Java-25;39;1834.662000;0.551399;;;;;;;;;;;;;;;;;;;
neo4j-analytics;ZGC-Java-21;14;0.357000;0.000107;;;;;;;;;;;;;;;;;;;
neo4j-analytics;ZGC-Java-25;15;0.364000;0.000109;;;;;;;;;;;;;;;;;;;
page-rank;G1GC-Java-21;68;12558.241000;6.005925;;;;;;;;;;;;;;;;;;;
page-rank;G1GC-Java-25;68;13186.600000;6.335375;;;;;;;;;;;;;;;;;;;
page-rank;ZGC-Java-21;17;0.455000;0.000219;;;;;;;;;;;;;;;;;;;
page-rank;ZGC-Java-25;13;0.409000;0.000199;;;;;;;;;;;;;;;;;;;
par-mnemonics;G1GC-Java-21;49;2000.966000;0.728324;;;;;;;;;;;;;;;;;;;
par-mnemonics;G1GC-Java-25;41;1688.761000;0.616270;;;;;;;;;;;;;;;;;;;
par-mnemonics;ZGC-Java-21;14;0.298000;0.000108;;;;;;;;;;;;;;;;;;;
par-mnemonics;ZGC-Java-25;14;0.366000;0.000131;;;;;;;;;;;;;;;;;;;
philosophers;G1GC-Java-21;40;1726.443000;0.569987;;;;;;;;;;;;;;;;;;;
philosophers;G1GC-Java-25;43;1923.903000;0.634408;;;;;;;;;;;;;;;;;;;
philosophers;ZGC-Java-21;14;0.425000;0.000140;;;;;;;;;;;;;;;;;;;
philosophers;ZGC-Java-25;12;0.375000;0.000124;;;;;;;;;;;;;;;;;;;
reactors;G1GC-Java-21;19;1381.020000;0.445583;;;;;;;;;;;;;;;;;;;
reactors;G1GC-Java-25;16;1389.169000;0.438452;;;;;;;;;;;;;;;;;;;
reactors;ZGC-Java-21;23;0.583000;0.000190;;;;;;;;;;;;;;;;;;;
reactors;ZGC-Java-25;23;0.646000;0.000209;;;;;;;;;;;;;;;;;;;
rx-scrabble;G1GC-Java-21;39;1381.654000;0.474700;;;;;;;;;;;;;;;;;;;
rx-scrabble;G1GC-Java-25;41;1504.657000;0.517251;;;;;;;;;;;;;;;;;;;
rx-scrabble;ZGC-Java-21;17;0.341000;0.000118;;;;;;;;;;;;;;;;;;;
rx-scrabble;ZGC-Java-25;17;0.392000;0.000136;;;;;;;;;;;;;;;;;;;
scala-doku;G1GC-Java-21;2;191.258000;0.063408;;;;;;;;;;;;;;;;;;;
scala-doku;G1GC-Java-25;3;288.337000;0.094879;;;;;;;;;;;;;;;;;;;
scala-doku;ZGC-Java-21;60;1.926000;0.000633;;;;;;;;;;;;;;;;;;;
scala-doku;ZGC-Java-25;80;2.788000;0.000923;;;;;;;;;;;;;;;;;;;
scala-kmeans;G1GC-Java-21;5;333.332000;0.110722;;;;;;;;;;;;;;;;;;;
scala-kmeans;G1GC-Java-25;4;257.941000;0.085628;;;;;;;;;;;;;;;;;;;
scala-kmeans;ZGC-Java-21;30;0.879000;0.000292;;;;;;;;;;;;;;;;;;;
scala-kmeans;ZGC-Java-25;115;3.273000;0.001086;;;;;;;;;;;;;;;;;;;
scala-stm-bench7;G1GC-Java-21;94;17841.158000;5.908878;;;;;;;;;;;;;;;;;;;
scala-stm-bench7;G1GC-Java-25;87;15542.042000;5.149553;;;;;;;;;;;;;;;;;;;
scala-stm-bench7;ZGC-Java-21;39;1.089000;0.000361;;;;;;;;;;;;;;;;;;;
scala-stm-bench7;ZGC-Java-25;44;1.414000;0.000468;;;;;;;;;;;;;;;;;;;
scrabble;G1GC-Java-21;46;2336.901000;0.774136;;;;;;;;;;;;;;;;;;;
scrabble;G1GC-Java-25;45;2525.422000;0.836531;;;;;;;;;;;;;;;;;;;
scrabble;ZGC-Java-21;18;0.510000;0.000169;;;;;;;;;;;;;;;;;;;
scrabble;ZGC-Java-25;24;0.811000;0.000268;;;;;;;;;;;;;;;;;;;
