benchmark;environment;processed_gc_log_file_count;stw_pause_count;total_stw_ms;stw_overhead_percent;steady_state_start_s;steady_state_end_s;steady_state_wall_clock_span_ms;iteration_total_duration_ms;min_gc_uptime_s_in_steady_state_window;max_gc_uptime_s_in_steady_state_window;category_pause_cleanup_count;category_pause_cleanup_ms;category_pause_mark_end_count;category_pause_mark_end_ms;category_pause_mark_start_count;category_pause_mark_start_ms;category_pause_relocate_start_count;category_pause_relocate_start_ms;category_pause_remark_count;category_pause_remark_ms;category_pause_young_count;category_pause_young_ms
finagle-chirper;ZGC-Java-25;6;11;0.346000;0.000113;301.372661837;608.419520407;307046.858570;306418.353422;563.156000;601.142000;0;0.000000;4;0.096000;3;0.136000;4;0.114000;0;0.000000;0;0.000000
finagle-http;G1GC-Java-21;6;29;1480.207000;0.478671;301.735259336;611.078555121;309343.295785;309232.825167;308.440000;602.169000;1;10.452000;0;0.000000;0;0.000000;0;0.000000;1;54.202000;27;1415.553000
finagle-http;G1GC-Java-25;6;26;1314.734000;0.428100;300.360248972;607.557304499;307197.055527;307108.969797;308.170000;596.970000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;26;1314.734000
finagle-http;ZGC-Java-21;6;17;0.496000;0.000161;300.936072382;608.358933049;307422.860667;307341.304635;557.038000;602.497000;0;0.000000;6;0.115000;5;0.219000;6;0.162000;0;0.000000;0;0.000000
finagle-http;ZGC-Java-25;6;11;0.400000;0.000131;302.606372601;607.496396759;304890.024158;304806.734642;570.734000;598.580000;0;0.000000;4;0.085000;3;0.174000;4;0.141000;0;0.000000;0;0.000000
fj-kmeans;G1GC-Java-21;6;41;2041.998000;0.673089;303.546137829;606.975821134;303429.683305;303377.199518;450.113000;604.668000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;41;2041.998000
fj-kmeans;G1GC-Java-25;6;38;1896.210000;0.626709;302.504911143;605.120376376;302615.465233;302566.342187;470.384000;602.934000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;38;1896.210000
fj-kmeans;ZGC-Java-21;6;15;0.419000;0.000136;302.173852823;610.717397784;308543.544961;308490.495530;593.559000;609.407000;0;0.000000;5;0.099000;5;0.202000;5;0.118000;0;0.000000;0;0.000000
fj-kmeans;ZGC-Java-25;6;18;0.549000;0.000180;300.966996181;605.954563547;304987.567366;304928.446676;589.038000;605.087000;0;0.000000;6;0.115000;6;0.272000;6;0.162000;0;0.000000;0;0.000000
future-genetic;G1GC-Java-21;6;22;807.108000;0.267076;301.548807589;603.782540551;302233.732962;302201.654961;307.558000;594.780000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;22;807.108000
future-genetic;G1GC-Java-25;6;23;932.401000;0.308005;301.146535869;603.904405988;302757.870119;302722.942087;306.220000;594.733000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;23;932.401000
future-genetic;ZGC-Java-21;6;30;0.855000;0.000282;300.582921608;603.288370563;302705.448955;302672.347853;552.116000;599.869000;0;0.000000;12;0.205000;6;0.280000;12;0.370000;0;0.000000;0;0.000000
future-genetic;ZGC-Java-25;6;30;0.829000;0.000273;301.334181884;604.559054010;303224.872126;303187.012092;556.644000;603.692000;0;0.000000;12;0.200000;6;0.249000;12;0.380000;0;0.000000;0;0.000000
gauss-mix;G1GC-Java-21;6;26;1773.022000;0.566901;306.007760643;618.769904082;312762.143439;312756.952662;494.165000;618.300000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;26;1773.022000
gauss-mix;G1GC-Java-25;6;23;1547.218000;0.486548;302.066296842;620.070547195;318004.250353;317999.334231;504.274000;616.369000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;23;1547.218000
gauss-mix;ZGC-Java-21;6;8;0.134000;0.000043;304.546412355;614.419423787;309873.011432;309867.299731;601.611000;611.160000;0;0.000000;3;0.040000;2;0.050000;3;0.044000;0;0.000000;0;0.000000
gauss-mix;ZGC-Java-25;6;8;0.175000;0.000055;303.790362191;621.859148898;318068.786707;318063.340811;610.027000;618.747000;0;0.000000;3;0.048000;2;0.070000;3;0.057000;0;0.000000;0;0.000000
log-regression;G1GC-Java-21;6;28;2127.932000;0.688038;300.910145638;610.236853724;309326.708086;309275.307419;513.460000;609.023000;1;10.551000;0;0.000000;0;0.000000;0;0.000000;1;60.301000;26;2057.080000
log-regression;G1GC-Java-25;6;20;1608.544000;0.519949;300.105002979;609.525296542;309420.293563;309365.570305;513.213000;606.390000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;20;1608.544000
log-regression;ZGC-Java-21;6;15;0.341000;0.000110;301.000200094;609.960981788;308960.781694;308902.636342;597.953000;608.472000;0;0.000000;5;0.075000;5;0.171000;5;0.095000;0;0.000000;0;0.000000
log-regression;ZGC-Java-25;6;0;0.000000;0.000000;300.602179786;616.108106553;315505.926767;315442.555796;;;0;0.000000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;0;0.000000
mnemonics;G1GC-Java-21;6;44;1777.231000;0.630523;301.439634087;607.079574981;305639.940894;281866.182456;399.838000;603.388000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;44;1777.231000
