[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Pauses.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Pauses.
[jmx-memory plugin] WARNING: MXBean for young generation not found, using mock.
====== par-mnemonics (functional) [default], iteration 48 started ======
====== par-mnemonics (functional) [default], iteration 48 completed (2726.193 ms) ======
====== par-mnemonics (functional) [default], iteration 49 started ======
====== par-mnemonics (functional) [default], iteration 49 completed (2757.547 ms) ======
====== par-mnemonics (functional) [default], iteration 50 started ======
====== par-mnemonics (functional) [default], iteration 50 completed (2741.575 ms) ======
====== par-mnemonics (functional) [default], iteration 51 started ======
====== par-mnemonics (functional) [default], iteration 51 completed (2800.363 ms) ======
====== par-mnemonics (functional) [default], iteration 52 started ======
====== par-mnemonics (functional) [default], iteration 52 completed (2730.187 ms) ======
====== par-mnemonics (functional) [default], iteration 53 started ======
====== par-mnemonics (functional) [default], iteration 53 completed (2758.332 ms) ======
====== par-mnemonics (functional) [default], iteration 54 started ======
====== par-mnemonics (functional) [default], iteration 54 completed (2777.555 ms) ======
====== par-mnemonics (functional) [default], iteration 55 started ======
====== par-mnemonics (functional) [default], iteration 55 completed (2831.468 ms) ======
====== par-mnemonics (functional) [default], iteration 56 started ======
====== par-mnemonics (functional) [default], iteration 56 completed (2722.119 ms) ======
====== par-mnemonics (functional) [default], iteration 57 started ======
====== par-mnemonics (functional) [default], iteration 57 completed (2775.077 ms) ======
====== par-mnemonics (functional) [default], iteration 58 started ======
====== par-mnemonics (functional) [default], iteration 58 completed (2751.090 ms) ======
====== par-mnemonics (functional) [default], iteration 59 started ======
====== par-mnemonics (functional) [default], iteration 59 completed (2800.545 ms) ======
====== par-mnemonics (functional) [default], iteration 60 started ======
====== par-mnemonics (functional) [default], iteration 60 completed (2818.977 ms) ======
====== par-mnemonics (functional) [default], iteration 61 started ======
====== par-mnemonics (functional) [default], iteration 61 completed (2732.034 ms) ======
====== par-mnemonics (functional) [default], iteration 62 started ======
====== par-mnemonics (functional) [default], iteration 62 completed (2758.599 ms) ======
====== par-mnemonics (functional) [default], iteration 63 started ======
====== par-mnemonics (functional) [default], iteration 63 completed (2727.292 ms) ======
====== par-mnemonics (functional) [default], iteration 64 started ======
====== par-mnemonics (functional) [default], iteration 64 completed (2793.506 ms) ======
====== par-mnemonics (functional) [default], iteration 65 started ======
====== par-mnemonics (functional) [default], iteration 65 completed (2787.574 ms) ======
====== par-mnemonics (functional) [default], iteration 66 started ======
====== par-mnemonics (functional) [default], iteration 66 completed (2807.810 ms) ======
====== par-mnemonics (functional) [default], iteration 67 started ======
====== par-mnemonics (functional) [default], iteration 67 completed (2735.682 ms) ======
====== par-mnemonics (functional) [default], iteration 68 started ======
====== par-mnemonics (functional) [default], iteration 68 completed (2775.059 ms) ======
====== par-mnemonics (functional) [default], iteration 69 started ======
====== par-mnemonics (functional) [default], iteration 69 completed (2749.559 ms) ======
====== par-mnemonics (functional) [default], iteration 70 started ======
====== par-mnemonics (functional) [default], iteration 70 completed (2794.390 ms) ======
====== par-mnemonics (functional) [default], iteration 71 started ======
====== par-mnemonics (functional) [default], iteration 71 completed (2750.063 ms) ======
====== par-mnemonics (functional) [default], iteration 72 started ======
====== par-mnemonics (functional) [default], iteration 72 completed (2779.119 ms) ======
====== par-mnemonics (functional) [default], iteration 73 started ======
====== par-mnemonics (functional) [default], iteration 73 completed (2786.024 ms) ======
====== par-mnemonics (functional) [default], iteration 74 started ======
====== par-mnemonics (functional) [default], iteration 74 completed (2731.435 ms) ======
====== par-mnemonics (functional) [default], iteration 75 started ======
====== par-mnemonics (functional) [default], iteration 75 completed (2791.986 ms) ======
====== par-mnemonics (functional) [default], iteration 76 started ======
====== par-mnemonics (functional) [default], iteration 76 completed (2793.597 ms) ======
====== par-mnemonics (functional) [default], iteration 77 started ======
====== par-mnemonics (functional) [default], iteration 77 completed (2805.250 ms) ======
====== par-mnemonics (functional) [default], iteration 78 started ======
====== par-mnemonics (functional) [default], iteration 78 completed (2726.359 ms) ======
====== par-mnemonics (functional) [default], iteration 79 started ======
====== par-mnemonics (functional) [default], iteration 79 completed (2789.995 ms) ======
====== par-mnemonics (functional) [default], iteration 80 started ======
====== par-mnemonics (functional) [default], iteration 80 completed (2719.167 ms) ======
====== par-mnemonics (functional) [default], iteration 81 started ======
====== par-mnemonics (functional) [default], iteration 81 completed (2810.542 ms) ======
====== par-mnemonics (functional) [default], iteration 82 started ======
====== par-mnemonics (functional) [default], iteration 82 completed (2723.965 ms) ======
====== par-mnemonics (functional) [default], iteration 83 started ======
====== par-mnemonics (functional) [default], iteration 83 completed (2785.326 ms) ======
====== par-mnemonics (functional) [default], iteration 84 started ======
====== par-mnemonics (functional) [default], iteration 84 completed (2790.721 ms) ======
====== par-mnemonics (functional) [default], iteration 85 started ======
====== par-mnemonics (functional) [default], iteration 85 completed (2743.799 ms) ======
====== par-mnemonics (functional) [default], iteration 86 started ======
====== par-mnemonics (functional) [default], iteration 86 completed (2739.730 ms) ======
====== par-mnemonics (functional) [default], iteration 87 started ======
====== par-mnemonics (functional) [default], iteration 87 completed (2770.004 ms) ======
====== par-mnemonics (functional) [default], iteration 88 started ======
====== par-mnemonics (functional) [default], iteration 88 completed (2735.263 ms) ======
====== par-mnemonics (functional) [default], iteration 89 started ======
====== par-mnemonics (functional) [default], iteration 89 completed (2787.605 ms) ======
====== par-mnemonics (functional) [default], iteration 90 started ======
====== par-mnemonics (functional) [default], iteration 90 completed (2800.108 ms) ======
====== par-mnemonics (functional) [default], iteration 91 started ======
====== par-mnemonics (functional) [default], iteration 91 completed (2749.724 ms) ======
====== par-mnemonics (functional) [default], iteration 92 started ======
====== par-mnemonics (functional) [default], iteration 92 completed (2787.766 ms) ======
====== par-mnemonics (functional) [default], iteration 93 started ======
====== par-mnemonics (functional) [default], iteration 93 completed (2776.545 ms) ======
====== par-mnemonics (functional) [default], iteration 94 started ======
====== par-mnemonics (functional) [default], iteration 94 completed (2757.502 ms) ======
====== par-mnemonics (functional) [default], iteration 95 started ======
====== par-mnemonics (functional) [default], iteration 95 completed (2723.061 ms) ======
====== par-mnemonics (functional) [default], iteration 96 started ======
====== par-mnemonics (functional) [default], iteration 96 completed (2783.933 ms) ======
====== par-mnemonics (functional) [default], iteration 97 started ======
====== par-mnemonics (functional) [default], iteration 97 completed (2788.696 ms) ======
====== par-mnemonics (functional) [default], iteration 98 started ======
====== par-mnemonics (functional) [default], iteration 98 completed (2727.166 ms) ======
====== par-mnemonics (functional) [default], iteration 99 started ======
====== par-mnemonics (functional) [default], iteration 99 completed (2795.366 ms) ======
