[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Pauses.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Pauses.
[jmx-memory plugin] WARNING: MXBean for young generation not found, using mock.
====== dec-tree (apache-spark) [default], iteration 46 completed (963.899 ms) ======
====== dec-tree (apache-spark) [default], iteration 47 started ======
====== dec-tree (apache-spark) [default], iteration 47 completed (863.334 ms) ======
====== dec-tree (apache-spark) [default], iteration 48 started ======
====== dec-tree (apache-spark) [default], iteration 48 completed (928.496 ms) ======
====== dec-tree (apache-spark) [default], iteration 49 started ======
====== dec-tree (apache-spark) [default], iteration 49 completed (1015.381 ms) ======
====== dec-tree (apache-spark) [default], iteration 50 started ======
====== dec-tree (apache-spark) [default], iteration 50 completed (839.708 ms) ======
====== dec-tree (apache-spark) [default], iteration 51 started ======
====== dec-tree (apache-spark) [default], iteration 51 completed (836.936 ms) ======
====== dec-tree (apache-spark) [default], iteration 52 started ======
====== dec-tree (apache-spark) [default], iteration 52 completed (841.616 ms) ======
====== dec-tree (apache-spark) [default], iteration 53 started ======
====== dec-tree (apache-spark) [default], iteration 53 completed (1040.083 ms) ======
====== dec-tree (apache-spark) [default], iteration 54 started ======
====== dec-tree (apache-spark) [default], iteration 54 completed (866.088 ms) ======
====== dec-tree (apache-spark) [default], iteration 55 started ======
====== dec-tree (apache-spark) [default], iteration 55 completed (823.482 ms) ======
====== dec-tree (apache-spark) [default], iteration 56 started ======
====== dec-tree (apache-spark) [default], iteration 56 completed (828.396 ms) ======
====== dec-tree (apache-spark) [default], iteration 57 started ======
====== dec-tree (apache-spark) [default], iteration 57 completed (817.462 ms) ======
====== dec-tree (apache-spark) [default], iteration 58 started ======
====== dec-tree (apache-spark) [default], iteration 58 completed (824.911 ms) ======
====== dec-tree (apache-spark) [default], iteration 59 started ======
====== dec-tree (apache-spark) [default], iteration 59 completed (830.045 ms) ======
====== dec-tree (apache-spark) [default], iteration 60 started ======
====== dec-tree (apache-spark) [default], iteration 60 completed (857.137 ms) ======
====== dec-tree (apache-spark) [default], iteration 61 started ======
====== dec-tree (apache-spark) [default], iteration 61 completed (1100.389 ms) ======
====== dec-tree (apache-spark) [default], iteration 62 started ======
====== dec-tree (apache-spark) [default], iteration 62 completed (838.641 ms) ======
====== dec-tree (apache-spark) [default], iteration 63 started ======
====== dec-tree (apache-spark) [default], iteration 63 completed (826.469 ms) ======
====== dec-tree (apache-spark) [default], iteration 64 started ======
====== dec-tree (apache-spark) [default], iteration 64 completed (859.524 ms) ======
====== dec-tree (apache-spark) [default], iteration 65 started ======
====== dec-tree (apache-spark) [default], iteration 65 completed (802.274 ms) ======
====== dec-tree (apache-spark) [default], iteration 66 started ======
====== dec-tree (apache-spark) [default], iteration 66 completed (816.386 ms) ======
====== dec-tree (apache-spark) [default], iteration 67 started ======
====== dec-tree (apache-spark) [default], iteration 67 completed (827.809 ms) ======
====== dec-tree (apache-spark) [default], iteration 68 started ======
====== dec-tree (apache-spark) [default], iteration 68 completed (1078.723 ms) ======
====== dec-tree (apache-spark) [default], iteration 69 started ======
====== dec-tree (apache-spark) [default], iteration 69 completed (815.676 ms) ======
====== dec-tree (apache-spark) [default], iteration 70 started ======
====== dec-tree (apache-spark) [default], iteration 70 completed (825.760 ms) ======
====== dec-tree (apache-spark) [default], iteration 71 started ======
====== dec-tree (apache-spark) [default], iteration 71 completed (815.709 ms) ======
====== dec-tree (apache-spark) [default], iteration 72 started ======
====== dec-tree (apache-spark) [default], iteration 72 completed (837.103 ms) ======
====== dec-tree (apache-spark) [default], iteration 73 started ======
====== dec-tree (apache-spark) [default], iteration 73 completed (815.338 ms) ======
====== dec-tree (apache-spark) [default], iteration 74 started ======
====== dec-tree (apache-spark) [default], iteration 74 completed (820.265 ms) ======
====== dec-tree (apache-spark) [default], iteration 75 started ======
====== dec-tree (apache-spark) [default], iteration 75 completed (1006.300 ms) ======
====== dec-tree (apache-spark) [default], iteration 76 started ======
====== dec-tree (apache-spark) [default], iteration 76 completed (854.094 ms) ======
====== dec-tree (apache-spark) [default], iteration 77 started ======
====== dec-tree (apache-spark) [default], iteration 77 completed (807.159 ms) ======
====== dec-tree (apache-spark) [default], iteration 78 started ======
====== dec-tree (apache-spark) [default], iteration 78 completed (807.658 ms) ======
====== dec-tree (apache-spark) [default], iteration 79 started ======
====== dec-tree (apache-spark) [default], iteration 79 completed (815.310 ms) ======
====== dec-tree (apache-spark) [default], iteration 80 started ======
====== dec-tree (apache-spark) [default], iteration 80 completed (811.593 ms) ======
====== dec-tree (apache-spark) [default], iteration 81 started ======
====== dec-tree (apache-spark) [default], iteration 81 completed (822.167 ms) ======
====== dec-tree (apache-spark) [default], iteration 82 started ======
====== dec-tree (apache-spark) [default], iteration 82 completed (914.050 ms) ======
====== dec-tree (apache-spark) [default], iteration 83 started ======
====== dec-tree (apache-spark) [default], iteration 83 completed (951.519 ms) ======
====== dec-tree (apache-spark) [default], iteration 84 started ======
====== dec-tree (apache-spark) [default], iteration 84 completed (837.720 ms) ======
====== dec-tree (apache-spark) [default], iteration 85 started ======
====== dec-tree (apache-spark) [default], iteration 85 completed (844.324 ms) ======
====== dec-tree (apache-spark) [default], iteration 86 started ======
====== dec-tree (apache-spark) [default], iteration 86 completed (818.766 ms) ======
====== dec-tree (apache-spark) [default], iteration 87 started ======
====== dec-tree (apache-spark) [default], iteration 87 completed (811.009 ms) ======
====== dec-tree (apache-spark) [default], iteration 88 started ======
====== dec-tree (apache-spark) [default], iteration 88 completed (844.176 ms) ======
====== dec-tree (apache-spark) [default], iteration 89 started ======
====== dec-tree (apache-spark) [default], iteration 89 completed (811.604 ms) ======
====== dec-tree (apache-spark) [default], iteration 90 started ======
====== dec-tree (apache-spark) [default], iteration 90 completed (1023.775 ms) ======
====== dec-tree (apache-spark) [default], iteration 91 started ======
====== dec-tree (apache-spark) [default], iteration 91 completed (830.175 ms) ======
====== dec-tree (apache-spark) [default], iteration 92 started ======
====== dec-tree (apache-spark) [default], iteration 92 completed (802.114 ms) ======
====== dec-tree (apache-spark) [default], iteration 93 started ======
====== dec-tree (apache-spark) [default], iteration 93 completed (817.351 ms) ======
====== dec-tree (apache-spark) [default], iteration 94 started ======
====== dec-tree (apache-spark) [default], iteration 94 completed (806.603 ms) ======
====== dec-tree (apache-spark) [default], iteration 95 started ======
====== dec-tree (apache-spark) [default], iteration 95 completed (827.532 ms) ======
====== dec-tree (apache-spark) [default], iteration 96 started ======
====== dec-tree (apache-spark) [default], iteration 96 completed (816.543 ms) ======
====== dec-tree (apache-spark) [default], iteration 97 started ======
====== dec-tree (apache-spark) [default], iteration 97 completed (949.829 ms) ======
====== dec-tree (apache-spark) [default], iteration 98 started ======
====== dec-tree (apache-spark) [default], iteration 98 completed (872.156 ms) ======
====== dec-tree (apache-spark) [default], iteration 99 started ======
====== dec-tree (apache-spark) [default], iteration 99 completed (798.093 ms) ======
====== dec-tree (apache-spark) [default], iteration 100 started ======
====== dec-tree (apache-spark) [default], iteration 100 completed (803.782 ms) ======
====== dec-tree (apache-spark) [default], iteration 101 started ======
====== dec-tree (apache-spark) [default], iteration 101 completed (818.266 ms) ======
====== dec-tree (apache-spark) [default], iteration 102 started ======
====== dec-tree (apache-spark) [default], iteration 102 completed (847.619 ms) ======
====== dec-tree (apache-spark) [default], iteration 103 started ======
====== dec-tree (apache-spark) [default], iteration 103 completed (833.182 ms) ======
====== dec-tree (apache-spark) [default], iteration 104 started ======
====== dec-tree (apache-spark) [default], iteration 104 completed (832.451 ms) ======
====== dec-tree (apache-spark) [default], iteration 105 started ======
====== dec-tree (apache-spark) [default], iteration 105 completed (1017.062 ms) ======
====== dec-tree (apache-spark) [default], iteration 106 started ======
====== dec-tree (apache-spark) [default], iteration 106 completed (812.580 ms) ======
====== dec-tree (apache-spark) [default], iteration 107 started ======
====== dec-tree (apache-spark) [default], iteration 107 completed (783.334 ms) ======
====== dec-tree (apache-spark) [default], iteration 108 started ======
====== dec-tree (apache-spark) [default], iteration 108 completed (846.000 ms) ======
====== dec-tree (apache-spark) [default], iteration 109 started ======
====== dec-tree (apache-spark) [default], iteration 109 completed (824.025 ms) ======
====== dec-tree (apache-spark) [default], iteration 110 started ======
====== dec-tree (apache-spark) [default], iteration 110 completed (825.145 ms) ======
====== dec-tree (apache-spark) [default], iteration 111 started ======
====== dec-tree (apache-spark) [default], iteration 111 completed (801.839 ms) ======
