[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Pauses.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Pauses.
[jmx-memory plugin] WARNING: MXBean for young generation not found, using mock.
====== mnemonics (functional) [default], iteration 51 completed (3444.001 ms) ======
====== mnemonics (functional) [default], iteration 52 started ======
====== mnemonics (functional) [default], iteration 52 completed (3514.508 ms) ======
====== mnemonics (functional) [default], iteration 53 started ======
====== mnemonics (functional) [default], iteration 53 completed (3433.409 ms) ======
====== mnemonics (functional) [default], iteration 54 started ======
====== mnemonics (functional) [default], iteration 54 completed (3473.039 ms) ======
====== mnemonics (functional) [default], iteration 55 started ======
====== mnemonics (functional) [default], iteration 55 completed (3482.659 ms) ======
====== mnemonics (functional) [default], iteration 56 started ======
====== mnemonics (functional) [default], iteration 56 completed (3437.380 ms) ======
====== mnemonics (functional) [default], iteration 57 started ======
====== mnemonics (functional) [default], iteration 57 completed (3505.167 ms) ======
====== mnemonics (functional) [default], iteration 58 started ======
====== mnemonics (functional) [default], iteration 58 completed (3442.566 ms) ======
====== mnemonics (functional) [default], iteration 59 started ======
====== mnemonics (functional) [default], iteration 59 completed (3493.231 ms) ======
====== mnemonics (functional) [default], iteration 60 started ======
====== mnemonics (functional) [default], iteration 60 completed (3497.121 ms) ======
====== mnemonics (functional) [default], iteration 61 started ======
====== mnemonics (functional) [default], iteration 61 completed (3447.102 ms) ======
====== mnemonics (functional) [default], iteration 62 started ======
====== mnemonics (functional) [default], iteration 62 completed (3477.725 ms) ======
====== mnemonics (functional) [default], iteration 63 started ======
====== mnemonics (functional) [default], iteration 63 completed (3456.819 ms) ======
====== mnemonics (functional) [default], iteration 64 started ======
====== mnemonics (functional) [default], iteration 64 completed (3482.739 ms) ======
====== mnemonics (functional) [default], iteration 65 started ======
====== mnemonics (functional) [default], iteration 65 completed (3444.264 ms) ======
====== mnemonics (functional) [default], iteration 66 started ======
====== mnemonics (functional) [default], iteration 66 completed (3521.536 ms) ======
====== mnemonics (functional) [default], iteration 67 started ======
====== mnemonics (functional) [default], iteration 67 completed (3448.006 ms) ======
====== mnemonics (functional) [default], iteration 68 started ======
====== mnemonics (functional) [default], iteration 68 completed (3480.060 ms) ======
====== mnemonics (functional) [default], iteration 69 started ======
====== mnemonics (functional) [default], iteration 69 completed (3511.657 ms) ======
====== mnemonics (functional) [default], iteration 70 started ======
====== mnemonics (functional) [default], iteration 70 completed (3440.609 ms) ======
====== mnemonics (functional) [default], iteration 71 started ======
====== mnemonics (functional) [default], iteration 71 completed (3481.345 ms) ======
====== mnemonics (functional) [default], iteration 72 started ======
====== mnemonics (functional) [default], iteration 72 completed (3491.620 ms) ======
====== mnemonics (functional) [default], iteration 73 started ======
====== mnemonics (functional) [default], iteration 73 completed (3447.885 ms) ======
====== mnemonics (functional) [default], iteration 74 started ======
====== mnemonics (functional) [default], iteration 74 completed (3517.320 ms) ======
====== mnemonics (functional) [default], iteration 75 started ======
====== mnemonics (functional) [default], iteration 75 completed (3447.812 ms) ======
====== mnemonics (functional) [default], iteration 76 started ======
====== mnemonics (functional) [default], iteration 76 completed (3495.757 ms) ======
====== mnemonics (functional) [default], iteration 77 started ======
====== mnemonics (functional) [default], iteration 77 completed (3441.270 ms) ======
====== mnemonics (functional) [default], iteration 78 started ======
====== mnemonics (functional) [default], iteration 78 completed (3522.403 ms) ======
====== mnemonics (functional) [default], iteration 79 started ======
====== mnemonics (functional) [default], iteration 79 completed (3442.066 ms) ======
====== mnemonics (functional) [default], iteration 80 started ======
====== mnemonics (functional) [default], iteration 80 completed (3474.329 ms) ======
