benchmark;environment;measurement_count;total_duration_ms;avg_duration_ms;steady_state_start_s;steady_state_end_s;steady_state_wall_clock_span_ms;fastest_environment;fastest_avg_duration_ms;is_fastest_environment
naive-bayes;G1GC-Java-21;235;310866.269024;1322.835187;300.297198218;611.246172107;310948.973889;;;
naive-bayes;G1GC-Java-25;301;309686.658774;1028.859331;300.555693293;610.264873485;309709.180192;G1GC-Java-25;1028.859331;TRUE
naive-bayes;ZGC-Java-21;186;310851.777473;1671.246115;301.376099381;612.251783367;310875.683986;;;
naive-bayes;ZGC-Java-25;224;309585.353309;1382.077470;301.082716854;610.695337186;309612.620332;;;
neo4j-analytics;G1GC-Java-21;189;325857.139465;1724.111849;301.686144939;627.576515312;325890.370373;;;
neo4j-analytics;G1GC-Java-25;201;332728.414162;1655.365245;300.897543895;633.659275205;332761.731310;G1GC-Java-25;1655.365245;TRUE
neo4j-analytics;ZGC-Java-21;176;332255.886441;1887.817537;301.190760440;633.478272942;332287.512502;;;
neo4j-analytics;ZGC-Java-25;184;332824.647110;1808.829604;300.082952917;632.940842088;332857.889171;;;
page-rank;G1GC-Java-21;47;209097.548463;4448.884010;303.065694259;619.274111678;316208.417419;;;
page-rank;G1GC-Java-25;48;208142.365048;4336.299272;301.876130186;618.986142511;317110.012325;;;
page-rank;ZGC-Java-21;48;207527.707115;4323.493898;302.502214034;616.137266813;313635.052779;;;
page-rank;ZGC-Java-25;49;205638.593174;4196.705983;303.001803938;615.420790076;312418.986138;ZGC-Java-25;4196.705983;TRUE
par-mnemonics;G1GC-Java-21;108;274735.849635;2543.850460;302.582717631;603.590462542;301007.744911;;;
par-mnemonics;G1GC-Java-25;117;274029.185748;2342.129793;300.260474448;603.776848867;303516.374419;G1GC-Java-25;2342.129793;TRUE
par-mnemonics;ZGC-Java-21;100;276683.938603;2766.839386;302.885010667;605.010997666;302125.986999;;;
par-mnemonics;ZGC-Java-25;100;279159.686877;2791.596869;301.404653276;605.026878214;303622.224938;;;
philosophers;G1GC-Java-21;178;302891.500068;1701.637641;300.722298426;603.634245091;302911.946665;;;
philosophers;G1GC-Java-25;154;303259.770302;1969.219288;300.195204382;603.474462061;303279.257679;;;
philosophers;ZGC-Java-21;181;302720.089057;1672.486680;301.033179939;603.776809208;302743.629269;ZGC-Java-21;1672.486680;TRUE
philosophers;ZGC-Java-25;155;302031.216660;1948.588495;301.071964192;603.127964767;302056.000575;;;
reactors;G1GC-Java-21;34;309935.741956;9115.757116;308.778048202;618.722140111;309944.091909;G1GC-Java-21;9115.757116;TRUE
reactors;G1GC-Java-25;30;316834.755749;10561.158525;300.076894678;616.917915008;316841.020330;;;
reactors;ZGC-Java-21;33;307071.130744;9305.185780;308.451209518;615.532472983;307081.263465;;;
