>>> Starting benchmark: scala-doku
>>> GC: ZGC
>>> Duration: 600s
>>> Base dir: ZGC-java21-2026-04-25
>>> Output dir: ZGC-java21-2026-04-25/scala-doku
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Pauses.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Pauses.
[jmx-memory plugin] WARNING: MXBean for young generation not found, using mock.
[jmx-memory plugin] WARNING: MXBean for old generation not found, using mock.
====== scala-doku (scala) [default], iteration 49 completed (3042.126 ms) ======
====== scala-doku (scala) [default], iteration 50 started ======
====== scala-doku (scala) [default], iteration 50 completed (3040.495 ms) ======
====== scala-doku (scala) [default], iteration 51 started ======
====== scala-doku (scala) [default], iteration 51 completed (3043.886 ms) ======
====== scala-doku (scala) [default], iteration 52 started ======
====== scala-doku (scala) [default], iteration 52 completed (2986.087 ms) ======
====== scala-doku (scala) [default], iteration 53 started ======
====== scala-doku (scala) [default], iteration 53 completed (2946.734 ms) ======
====== scala-doku (scala) [default], iteration 54 started ======
====== scala-doku (scala) [default], iteration 54 completed (2954.975 ms) ======
====== scala-doku (scala) [default], iteration 55 started ======
====== scala-doku (scala) [default], iteration 55 completed (2941.189 ms) ======
====== scala-doku (scala) [default], iteration 56 started ======
====== scala-doku (scala) [default], iteration 56 completed (2947.437 ms) ======
====== scala-doku (scala) [default], iteration 57 started ======
====== scala-doku (scala) [default], iteration 57 completed (2941.397 ms) ======
====== scala-doku (scala) [default], iteration 58 started ======
====== scala-doku (scala) [default], iteration 58 completed (2937.783 ms) ======
====== scala-doku (scala) [default], iteration 59 started ======
====== scala-doku (scala) [default], iteration 59 completed (2947.517 ms) ======
====== scala-doku (scala) [default], iteration 60 started ======
====== scala-doku (scala) [default], iteration 60 completed (3040.754 ms) ======
====== scala-doku (scala) [default], iteration 61 started ======
====== scala-doku (scala) [default], iteration 61 completed (3020.593 ms) ======
====== scala-doku (scala) [default], iteration 62 started ======
====== scala-doku (scala) [default], iteration 62 completed (3026.698 ms) ======
====== scala-doku (scala) [default], iteration 63 started ======
====== scala-doku (scala) [default], iteration 63 completed (3024.878 ms) ======
====== scala-doku (scala) [default], iteration 64 started ======
====== scala-doku (scala) [default], iteration 64 completed (3023.252 ms) ======
====== scala-doku (scala) [default], iteration 65 started ======
====== scala-doku (scala) [default], iteration 65 completed (3023.556 ms) ======
====== scala-doku (scala) [default], iteration 66 started ======
====== scala-doku (scala) [default], iteration 66 completed (3033.524 ms) ======
====== scala-doku (scala) [default], iteration 67 started ======
====== scala-doku (scala) [default], iteration 67 completed (3026.999 ms) ======
====== scala-doku (scala) [default], iteration 68 started ======
====== scala-doku (scala) [default], iteration 68 completed (3020.129 ms) ======
====== scala-doku (scala) [default], iteration 69 started ======
====== scala-doku (scala) [default], iteration 69 completed (2940.982 ms) ======
====== scala-doku (scala) [default], iteration 70 started ======
====== scala-doku (scala) [default], iteration 70 completed (2943.624 ms) ======
====== scala-doku (scala) [default], iteration 71 started ======
====== scala-doku (scala) [default], iteration 71 completed (2941.140 ms) ======
====== scala-doku (scala) [default], iteration 72 started ======
====== scala-doku (scala) [default], iteration 72 completed (2941.241 ms) ======
====== scala-doku (scala) [default], iteration 73 started ======
====== scala-doku (scala) [default], iteration 73 completed (2941.981 ms) ======
====== scala-doku (scala) [default], iteration 74 started ======
