Section A: throughput summary after warmup
benchmark;environment;measurement_count_after_warmup;total_duration_ms;avg_duration_ms;fastest_environment_for_benchmark;fastest_avg_duration_ms;is_fastest_environment
page-rank;G1GC-Java-25;48;208142.365048;4336.299272;ZGC-Java-25;4196.705983;False
page-rank;ZGC-Java-21;48;207527.707115;4323.493898;ZGC-Java-25;4196.705983;False
page-rank;ZGC-Java-25;49;205638.593174;4196.705983;ZGC-Java-25;4196.705983;True
par-mnemonics;G1GC-Java-21;108;274735.849635;2543.850460;G1GC-Java-25;2342.129793;False
par-mnemonics;G1GC-Java-25;117;274029.185748;2342.129793;G1GC-Java-25;2342.129793;True
par-mnemonics;ZGC-Java-21;100;276683.938603;2766.839386;G1GC-Java-25;2342.129793;False
par-mnemonics;ZGC-Java-25;100;279159.686877;2791.596869;G1GC-Java-25;2342.129793;False
philosophers;G1GC-Java-21;178;302891.500068;1701.637641;ZGC-Java-21;1672.486680;False
philosophers;G1GC-Java-25;154;303259.770302;1969.219288;ZGC-Java-21;1672.486680;False
philosophers;ZGC-Java-21;181;302720.089057;1672.486680;ZGC-Java-21;1672.486680;True
philosophers;ZGC-Java-25;155;302031.216660;1948.588495;ZGC-Java-21;1672.486680;False
reactors;G1GC-Java-21;34;309935.741956;9115.757116;G1GC-Java-21;9115.757116;True
reactors;G1GC-Java-25;30;316834.755749;10561.158525;G1GC-Java-21;9115.757116;False
reactors;ZGC-Java-21;33;307071.130744;9305.185780;G1GC-Java-21;9115.757116;False
reactors;ZGC-Java-25;29;309204.784006;10662.233931;G1GC-Java-21;9115.757116;False
rx-scrabble;G1GC-Java-21;2718;291058.090868;107.085390;G1GC-Java-25;104.300787;False
rx-scrabble;G1GC-Java-25;2789;290894.894777;104.300787;G1GC-Java-25;104.300787;True
rx-scrabble;ZGC-Java-21;2319;288710.834085;124.497988;G1GC-Java-25;104.300787;False
rx-scrabble;ZGC-Java-25;2350;288663.107972;122.835365;G1GC-Java-25;104.300787;False
scala-doku;G1GC-Java-21;116;301628.468270;2600.245416;G1GC-Java-25;2251.114308;False
scala-doku;G1GC-Java-25;135;303900.431548;2251.114308;G1GC-Java-25;2251.114308;True
scala-doku;ZGC-Java-21;102;304359.887714;2983.920468;G1GC-Java-25;2251.114308;False
scala-doku;ZGC-Java-25;128;302050.840054;2359.772188;G1GC-Java-25;2251.114308;False
scala-kmeans;G1GC-Java-21;1496;301052.043197;201.237997;G1GC-Java-21;201.237997;True
scala-kmeans;G1GC-Java-25;1487;301234.064917;202.578389;G1GC-Java-21;201.237997;False
scala-kmeans;ZGC-Java-21;1264;301104.518384;238.215600;G1GC-Java-21;201.237997;False
scala-kmeans;ZGC-Java-25;1440;301242.528523;209.196200;G1GC-Java-21;201.237997;False
scala-stm-bench7;G1GC-Java-21;257;301938.152174;1174.856623;G1GC-Java-25;1151.959529;False
scala-stm-bench7;G1GC-Java-25;262;301813.396593;1151.959529;G1GC-Java-25;1151.959529;True
scala-stm-bench7;ZGC-Java-21;198;301714.187977;1523.809030;G1GC-Java-25;1151.959529;False
scala-stm-bench7;ZGC-Java-25;192;302343.652112;1574.706521;G1GC-Java-25;1151.959529;False
scrabble;G1GC-Java-21;996;301872.086850;303.084425;G1GC-Java-25;290.840190;False
scrabble;G1GC-Java-25;1038;301892.117287;290.840190;G1GC-Java-25;290.840190;True
scrabble;ZGC-Java-21;758;302037.553584;398.466430;G1GC-Java-25;290.840190;False
scrabble;ZGC-Java-25;777;302287.834743;389.044832;G1GC-Java-25;290.840190;False

Section B: STW pause summary after warmup
benchmark;environment;processed_gc_log_files;stw_pause_count;total_stw_ms;stw_overhead_percent;min_gc_uptime_s_after_warmup;max_gc_uptime_s_after_warmup;category_pause_cleanup_count;category_pause_cleanup_ms;category_pause_remark_count;category_pause_remark_ms;category_pause_young_count;category_pause_young_ms
akka-uct;G1GC-Java-21;6;41;5177.575000;1.668715;446.166000;615.610000;0;0.000000;0;0.000000;41;5177.575000
akka-uct;G1GC-Java-25;6;40;5124.295000;1.688350;433.857000;609.585000;0;0.000000;0;0.000000;40;5124.295000
akka-uct;ZGC-Java-21;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
akka-uct;ZGC-Java-25;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
als;G1GC-Java-21;6;41;2263.569000;0.735930;385.069000;613.100000;0;0.000000;0;0.000000;41;2263.569000
als;G1GC-Java-25;6;26;2280.829000;0.740026;310.280000;611.060000;0;0.000000;0;0.000000;26;2280.829000
als;ZGC-Java-21;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
als;ZGC-Java-25;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
