>>> Starting benchmark: fj-kmeans
>>> GC: ZGC
>>> Duration: 600s
>>> Base dir: ZGC-java25-2026-04-24
>>> Output dir: ZGC-java25-2026-04-24/fj-kmeans
WARNING: A terminally deprecated method in sun.misc.Unsafe has been called
WARNING: sun.misc.Unsafe::objectFieldOffset has been called by scala.runtime.LazyVals$ (resource:/shared/scala3-library_3-3.3.4.jar)
WARNING: Please consider reporting this to the maintainers of class scala.runtime.LazyVals$
WARNING: sun.misc.Unsafe::objectFieldOffset will be removed in a future release
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Pauses.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Pauses.
[jmx-memory plugin] WARNING: MXBean for young generation not found, using mock.
====== fj-kmeans (concurrency) [default], iteration 41 started ======
====== fj-kmeans (concurrency) [default], iteration 41 completed (4214.153 ms) ======
====== fj-kmeans (concurrency) [default], iteration 42 started ======
====== fj-kmeans (concurrency) [default], iteration 42 completed (4258.304 ms) ======
====== fj-kmeans (concurrency) [default], iteration 43 started ======
====== fj-kmeans (concurrency) [default], iteration 43 completed (4228.432 ms) ======
====== fj-kmeans (concurrency) [default], iteration 44 started ======
====== fj-kmeans (concurrency) [default], iteration 44 completed (4251.467 ms) ======
====== fj-kmeans (concurrency) [default], iteration 45 started ======
====== fj-kmeans (concurrency) [default], iteration 45 completed (4251.314 ms) ======
====== fj-kmeans (concurrency) [default], iteration 46 started ======
====== fj-kmeans (concurrency) [default], iteration 46 completed (4231.830 ms) ======
====== fj-kmeans (concurrency) [default], iteration 47 started ======
====== fj-kmeans (concurrency) [default], iteration 47 completed (4235.987 ms) ======
====== fj-kmeans (concurrency) [default], iteration 48 started ======
====== fj-kmeans (concurrency) [default], iteration 48 completed (4221.855 ms) ======
====== fj-kmeans (concurrency) [default], iteration 49 started ======
====== fj-kmeans (concurrency) [default], iteration 49 completed (4221.471 ms) ======
====== fj-kmeans (concurrency) [default], iteration 50 started ======
====== fj-kmeans (concurrency) [default], iteration 50 completed (4236.812 ms) ======
====== fj-kmeans (concurrency) [default], iteration 51 started ======
====== fj-kmeans (concurrency) [default], iteration 51 completed (4218.987 ms) ======
====== fj-kmeans (concurrency) [default], iteration 52 started ======
====== fj-kmeans (concurrency) [default], iteration 52 completed (4220.143 ms) ======
====== fj-kmeans (concurrency) [default], iteration 53 started ======
====== fj-kmeans (concurrency) [default], iteration 53 completed (4270.964 ms) ======
====== fj-kmeans (concurrency) [default], iteration 54 started ======
====== fj-kmeans (concurrency) [default], iteration 54 completed (4209.717 ms) ======
====== fj-kmeans (concurrency) [default], iteration 55 started ======
====== fj-kmeans (concurrency) [default], iteration 55 completed (4223.354 ms) ======
====== fj-kmeans (concurrency) [default], iteration 56 started ======
====== fj-kmeans (concurrency) [default], iteration 56 completed (4235.015 ms) ======
====== fj-kmeans (concurrency) [default], iteration 57 started ======
====== fj-kmeans (concurrency) [default], iteration 57 completed (4227.688 ms) ======
====== fj-kmeans (concurrency) [default], iteration 58 started ======
====== fj-kmeans (concurrency) [default], iteration 58 completed (4212.512 ms) ======
====== fj-kmeans (concurrency) [default], iteration 59 started ======
====== fj-kmeans (concurrency) [default], iteration 59 completed (4249.739 ms) ======
====== fj-kmeans (concurrency) [default], iteration 60 started ======
====== fj-kmeans (concurrency) [default], iteration 60 completed (4219.159 ms) ======
====== fj-kmeans (concurrency) [default], iteration 61 started ======
====== fj-kmeans (concurrency) [default], iteration 61 completed (4230.392 ms) ======
====== fj-kmeans (concurrency) [default], iteration 62 started ======
====== fj-kmeans (concurrency) [default], iteration 62 completed (4273.297 ms) ======
====== fj-kmeans (concurrency) [default], iteration 63 started ======
====== fj-kmeans (concurrency) [default], iteration 63 completed (4222.074 ms) ======
====== fj-kmeans (concurrency) [default], iteration 64 started ======
====== fj-kmeans (concurrency) [default], iteration 64 completed (4224.310 ms) ======
====== fj-kmeans (concurrency) [default], iteration 65 started ======
====== fj-kmeans (concurrency) [default], iteration 65 completed (4234.823 ms) ======
====== fj-kmeans (concurrency) [default], iteration 66 started ======
====== fj-kmeans (concurrency) [default], iteration 66 completed (4217.349 ms) ======
====== fj-kmeans (concurrency) [default], iteration 67 started ======
====== fj-kmeans (concurrency) [default], iteration 67 completed (4219.908 ms) ======
====== fj-kmeans (concurrency) [default], iteration 68 started ======
====== fj-kmeans (concurrency) [default], iteration 68 completed (4250.928 ms) ======
====== fj-kmeans (concurrency) [default], iteration 69 started ======
====== fj-kmeans (concurrency) [default], iteration 69 completed (4225.875 ms) ======
====== fj-kmeans (concurrency) [default], iteration 70 started ======
====== fj-kmeans (concurrency) [default], iteration 70 completed (4269.793 ms) ======
====== fj-kmeans (concurrency) [default], iteration 71 started ======
====== fj-kmeans (concurrency) [default], iteration 71 completed (4225.115 ms) ======
====== fj-kmeans (concurrency) [default], iteration 72 started ======
====== fj-kmeans (concurrency) [default], iteration 72 completed (4245.757 ms) ======
====== fj-kmeans (concurrency) [default], iteration 73 started ======
====== fj-kmeans (concurrency) [default], iteration 73 completed (4218.321 ms) ======
====== fj-kmeans (concurrency) [default], iteration 74 started ======
====== fj-kmeans (concurrency) [default], iteration 74 completed (4225.137 ms) ======
====== fj-kmeans (concurrency) [default], iteration 75 started ======
====== fj-kmeans (concurrency) [default], iteration 75 completed (4239.884 ms) ======
====== fj-kmeans (concurrency) [default], iteration 76 started ======
====== fj-kmeans (concurrency) [default], iteration 76 completed (4219.687 ms) ======
====== fj-kmeans (concurrency) [default], iteration 77 started ======
====== fj-kmeans (concurrency) [default], iteration 77 completed (4215.582 ms) ======
====== fj-kmeans (concurrency) [default], iteration 78 started ======
====== fj-kmeans (concurrency) [default], iteration 78 completed (4292.528 ms) ======
====== fj-kmeans (concurrency) [default], iteration 79 started ======
====== fj-kmeans (concurrency) [default], iteration 79 completed (4217.968 ms) ======
====== fj-kmeans (concurrency) [default], iteration 80 started ======
====== fj-kmeans (concurrency) [default], iteration 80 completed (4226.006 ms) ======
====== fj-kmeans (concurrency) [default], iteration 81 started ======
====== fj-kmeans (concurrency) [default], iteration 81 completed (4251.073 ms) ======
====== fj-kmeans (concurrency) [default], iteration 82 started ======
====== fj-kmeans (concurrency) [default], iteration 82 completed (4223.698 ms) ======
====== fj-kmeans (concurrency) [default], iteration 83 started ======
====== fj-kmeans (concurrency) [default], iteration 83 completed (4216.766 ms) ======
====== fj-kmeans (concurrency) [default], iteration 84 started ======
====== fj-kmeans (concurrency) [default], iteration 84 completed (4249.331 ms) ======
====== fj-kmeans (concurrency) [default], iteration 85 started ======
====== fj-kmeans (concurrency) [default], iteration 85 completed (4225.125 ms) ======
====== fj-kmeans (concurrency) [default], iteration 86 started ======
====== fj-kmeans (concurrency) [default], iteration 86 completed (4278.257 ms) ======
====== fj-kmeans (concurrency) [default], iteration 87 started ======
====== fj-kmeans (concurrency) [default], iteration 87 completed (4221.450 ms) ======
====== fj-kmeans (concurrency) [default], iteration 88 started ======
====== fj-kmeans (concurrency) [default], iteration 88 completed (4215.376 ms) ======
====== fj-kmeans (concurrency) [default], iteration 89 started ======
====== fj-kmeans (concurrency) [default], iteration 89 completed (4239.905 ms) ======
====== fj-kmeans (concurrency) [default], iteration 90 started ======
====== fj-kmeans (concurrency) [default], iteration 90 completed (4216.190 ms) ======
====== fj-kmeans (concurrency) [default], iteration 91 started ======
====== fj-kmeans (concurrency) [default], iteration 91 completed (4224.082 ms) ======
====== fj-kmeans (concurrency) [default], iteration 92 started ======
====== fj-kmeans (concurrency) [default], iteration 92 completed (4240.106 ms) ======
====== fj-kmeans (concurrency) [default], iteration 93 started ======
====== fj-kmeans (concurrency) [default], iteration 93 completed (4228.349 ms) ======
====== fj-kmeans (concurrency) [default], iteration 94 started ======
====== fj-kmeans (concurrency) [default], iteration 94 completed (4265.278 ms) ======
====== fj-kmeans (concurrency) [default], iteration 95 started ======
====== fj-kmeans (concurrency) [default], iteration 95 completed (4214.548 ms) ======
====== fj-kmeans (concurrency) [default], iteration 96 started ======
====== fj-kmeans (concurrency) [default], iteration 96 completed (4225.819 ms) ======
====== fj-kmeans (concurrency) [default], iteration 97 started ======
====== fj-kmeans (concurrency) [default], iteration 97 completed (4239.851 ms) ======
====== fj-kmeans (concurrency) [default], iteration 98 started ======
====== fj-kmeans (concurrency) [default], iteration 98 completed (4213.892 ms) ======
====== fj-kmeans (concurrency) [default], iteration 99 started ======
====== fj-kmeans (concurrency) [default], iteration 99 completed (4220.491 ms) ======
====== fj-kmeans (concurrency) [default], iteration 100 started ======
====== fj-kmeans (concurrency) [default], iteration 100 completed (4241.927 ms) ======
====== fj-kmeans (concurrency) [default], iteration 101 started ======
====== fj-kmeans (concurrency) [default], iteration 101 completed (4226.659 ms) ======
====== fj-kmeans (concurrency) [default], iteration 102 started ======
====== fj-kmeans (concurrency) [default], iteration 102 completed (4277.716 ms) ======
====== fj-kmeans (concurrency) [default], iteration 103 started ======
====== fj-kmeans (concurrency) [default], iteration 103 completed (4242.581 ms) ======
====== fj-kmeans (concurrency) [default], iteration 104 started ======
====== fj-kmeans (concurrency) [default], iteration 104 completed (4227.593 ms) ======
====== fj-kmeans (concurrency) [default], iteration 105 started ======
====== fj-kmeans (concurrency) [default], iteration 105 completed (4224.150 ms) ======
====== fj-kmeans (concurrency) [default], iteration 106 started ======
====== fj-kmeans (concurrency) [default], iteration 106 completed (4249.097 ms) ======
====== fj-kmeans (concurrency) [default], iteration 107 started ======
====== fj-kmeans (concurrency) [default], iteration 107 completed (4229.453 ms) ======
====== fj-kmeans (concurrency) [default], iteration 108 started ======
====== fj-kmeans (concurrency) [default], iteration 108 completed (4229.388 ms) ======
====== fj-kmeans (concurrency) [default], iteration 109 started ======
====== fj-kmeans (concurrency) [default], iteration 109 completed (4249.174 ms) ======
====== fj-kmeans (concurrency) [default], iteration 110 started ======
====== fj-kmeans (concurrency) [default], iteration 110 completed (4250.370 ms) ======
====== fj-kmeans (concurrency) [default], iteration 111 started ======
====== fj-kmeans (concurrency) [default], iteration 111 completed (4254.677 ms) ======
====== fj-kmeans (concurrency) [default], iteration 112 started ======
====== fj-kmeans (concurrency) [default], iteration 112 completed (4216.273 ms) ======
====== fj-kmeans (concurrency) [default], iteration 113 started ======
====== fj-kmeans (concurrency) [default], iteration 113 completed (4245.425 ms) ======
====== fj-kmeans (concurrency) [default], iteration 114 started ======
====== fj-kmeans (concurrency) [default], iteration 114 completed (4217.559 ms) ======
====== fj-kmeans (concurrency) [default], iteration 115 started ======
====== fj-kmeans (concurrency) [default], iteration 115 completed (4224.516 ms) ======
====== fj-kmeans (concurrency) [default], iteration 116 started ======
====== fj-kmeans (concurrency) [default], iteration 116 completed (4245.275 ms) ======
====== fj-kmeans (concurrency) [default], iteration 117 started ======
====== fj-kmeans (concurrency) [default], iteration 117 completed (4228.606 ms) ======
====== fj-kmeans (concurrency) [default], iteration 118 started ======
