>>> Starting benchmark: dec-tree
>>> GC: ZGC
>>> Duration: 600s
>>> Base dir: ZGC-java25-2026-04-24
>>> Output dir: ZGC-java25-2026-04-24/dec-tree
WARNING: A terminally deprecated method in sun.misc.Unsafe has been called
WARNING: sun.misc.Unsafe::objectFieldOffset has been called by scala.runtime.LazyVals$ (resource:/shared/scala3-library_3-3.3.4.jar)
WARNING: Please consider reporting this to the maintainers of class scala.runtime.LazyVals$
WARNING: sun.misc.Unsafe::objectFieldOffset will be removed in a future release
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Pauses.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Pauses.
[jmx-memory plugin] WARNING: MXBean for young generation not found, using mock.
====== dec-tree (apache-spark) [default], iteration 42 completed (907.254 ms) ======
====== dec-tree (apache-spark) [default], iteration 43 started ======
====== dec-tree (apache-spark) [default], iteration 43 completed (825.343 ms) ======
====== dec-tree (apache-spark) [default], iteration 44 started ======
====== dec-tree (apache-spark) [default], iteration 44 completed (817.551 ms) ======
====== dec-tree (apache-spark) [default], iteration 45 started ======
====== dec-tree (apache-spark) [default], iteration 45 completed (797.220 ms) ======
====== dec-tree (apache-spark) [default], iteration 46 started ======
====== dec-tree (apache-spark) [default], iteration 46 completed (865.623 ms) ======
====== dec-tree (apache-spark) [default], iteration 47 started ======
====== dec-tree (apache-spark) [default], iteration 47 completed (803.960 ms) ======
====== dec-tree (apache-spark) [default], iteration 48 started ======
====== dec-tree (apache-spark) [default], iteration 48 completed (814.232 ms) ======
====== dec-tree (apache-spark) [default], iteration 49 started ======
====== dec-tree (apache-spark) [default], iteration 49 completed (810.078 ms) ======
====== dec-tree (apache-spark) [default], iteration 50 started ======
====== dec-tree (apache-spark) [default], iteration 50 completed (797.293 ms) ======
====== dec-tree (apache-spark) [default], iteration 51 started ======
====== dec-tree (apache-spark) [default], iteration 51 completed (988.582 ms) ======
====== dec-tree (apache-spark) [default], iteration 52 started ======
====== dec-tree (apache-spark) [default], iteration 52 completed (862.792 ms) ======
====== dec-tree (apache-spark) [default], iteration 53 started ======
====== dec-tree (apache-spark) [default], iteration 53 completed (808.572 ms) ======
====== dec-tree (apache-spark) [default], iteration 54 started ======
====== dec-tree (apache-spark) [default], iteration 54 completed (787.556 ms) ======
====== dec-tree (apache-spark) [default], iteration 55 started ======
====== dec-tree (apache-spark) [default], iteration 55 completed (781.021 ms) ======
====== dec-tree (apache-spark) [default], iteration 56 started ======
====== dec-tree (apache-spark) [default], iteration 56 completed (807.425 ms) ======
====== dec-tree (apache-spark) [default], iteration 57 started ======
====== dec-tree (apache-spark) [default], iteration 57 completed (851.001 ms) ======
====== dec-tree (apache-spark) [default], iteration 58 started ======
====== dec-tree (apache-spark) [default], iteration 58 completed (801.830 ms) ======
====== dec-tree (apache-spark) [default], iteration 59 started ======
====== dec-tree (apache-spark) [default], iteration 59 completed (755.262 ms) ======
====== dec-tree (apache-spark) [default], iteration 60 started ======
====== dec-tree (apache-spark) [default], iteration 60 completed (821.461 ms) ======
====== dec-tree (apache-spark) [default], iteration 61 started ======
====== dec-tree (apache-spark) [default], iteration 61 completed (959.059 ms) ======
====== dec-tree (apache-spark) [default], iteration 62 started ======
====== dec-tree (apache-spark) [default], iteration 62 completed (793.796 ms) ======
====== dec-tree (apache-spark) [default], iteration 63 started ======
====== dec-tree (apache-spark) [default], iteration 63 completed (782.241 ms) ======
====== dec-tree (apache-spark) [default], iteration 64 started ======
====== dec-tree (apache-spark) [default], iteration 64 completed (779.502 ms) ======
====== dec-tree (apache-spark) [default], iteration 65 started ======
====== dec-tree (apache-spark) [default], iteration 65 completed (767.485 ms) ======
====== dec-tree (apache-spark) [default], iteration 66 started ======
====== dec-tree (apache-spark) [default], iteration 66 completed (770.047 ms) ======
====== dec-tree (apache-spark) [default], iteration 67 started ======
====== dec-tree (apache-spark) [default], iteration 67 completed (779.864 ms) ======
====== dec-tree (apache-spark) [default], iteration 68 started ======
====== dec-tree (apache-spark) [default], iteration 68 completed (810.228 ms) ======
====== dec-tree (apache-spark) [default], iteration 69 started ======
====== dec-tree (apache-spark) [default], iteration 69 completed (770.824 ms) ======
====== dec-tree (apache-spark) [default], iteration 70 started ======
====== dec-tree (apache-spark) [default], iteration 70 completed (811.579 ms) ======
====== dec-tree (apache-spark) [default], iteration 71 started ======
====== dec-tree (apache-spark) [default], iteration 71 completed (961.505 ms) ======
====== dec-tree (apache-spark) [default], iteration 72 started ======
====== dec-tree (apache-spark) [default], iteration 72 completed (780.875 ms) ======
====== dec-tree (apache-spark) [default], iteration 73 started ======
====== dec-tree (apache-spark) [default], iteration 73 completed (757.818 ms) ======
====== dec-tree (apache-spark) [default], iteration 74 started ======
====== dec-tree (apache-spark) [default], iteration 74 completed (788.555 ms) ======
====== dec-tree (apache-spark) [default], iteration 75 started ======
====== dec-tree (apache-spark) [default], iteration 75 completed (783.012 ms) ======
====== dec-tree (apache-spark) [default], iteration 76 started ======
