>>> Starting benchmark: rx-scrabble
>>> GC: ZGC
>>> Duration: 600s
>>> Base dir: ZGC-java25-2026-04-24
>>> Output dir: ZGC-java25-2026-04-24/rx-scrabble
WARNING: A terminally deprecated method in sun.misc.Unsafe has been called
WARNING: sun.misc.Unsafe::objectFieldOffset has been called by scala.runtime.LazyVals$ (resource:/shared/scala3-library_3-3.3.4.jar)
WARNING: Please consider reporting this to the maintainers of class scala.runtime.LazyVals$
WARNING: sun.misc.Unsafe::objectFieldOffset will be removed in a future release
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Pauses.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Pauses.
[jmx-memory plugin] WARNING: MXBean for young generation not found, using mock.
[jmx-memory plugin] WARNING: MXBean for old generation not found, using mock.
====== rx-scrabble (functional) [default], iteration 44 completed (146.787 ms) ======
====== rx-scrabble (functional) [default], iteration 45 started ======
====== rx-scrabble (functional) [default], iteration 45 completed (124.539 ms) ======
====== rx-scrabble (functional) [default], iteration 46 started ======
====== rx-scrabble (functional) [default], iteration 46 completed (133.877 ms) ======
====== rx-scrabble (functional) [default], iteration 47 started ======
====== rx-scrabble (functional) [default], iteration 47 completed (123.843 ms) ======
====== rx-scrabble (functional) [default], iteration 48 started ======
====== rx-scrabble (functional) [default], iteration 48 completed (123.930 ms) ======
====== rx-scrabble (functional) [default], iteration 49 started ======
====== rx-scrabble (functional) [default], iteration 49 completed (123.363 ms) ======
====== rx-scrabble (functional) [default], iteration 50 started ======
====== rx-scrabble (functional) [default], iteration 50 completed (124.339 ms) ======
====== rx-scrabble (functional) [default], iteration 51 started ======
====== rx-scrabble (functional) [default], iteration 51 completed (121.123 ms) ======
====== rx-scrabble (functional) [default], iteration 52 started ======
====== rx-scrabble (functional) [default], iteration 52 completed (122.721 ms) ======
====== rx-scrabble (functional) [default], iteration 53 started ======
====== rx-scrabble (functional) [default], iteration 53 completed (123.449 ms) ======
====== rx-scrabble (functional) [default], iteration 54 started ======
====== rx-scrabble (functional) [default], iteration 54 completed (121.992 ms) ======
====== rx-scrabble (functional) [default], iteration 55 started ======
====== rx-scrabble (functional) [default], iteration 55 completed (123.142 ms) ======
====== rx-scrabble (functional) [default], iteration 56 started ======
====== rx-scrabble (functional) [default], iteration 56 completed (122.546 ms) ======
====== rx-scrabble (functional) [default], iteration 57 started ======
====== rx-scrabble (functional) [default], iteration 57 completed (122.407 ms) ======
====== rx-scrabble (functional) [default], iteration 58 started ======
====== rx-scrabble (functional) [default], iteration 58 completed (122.091 ms) ======
====== rx-scrabble (functional) [default], iteration 59 started ======
====== rx-scrabble (functional) [default], iteration 59 completed (124.761 ms) ======
====== rx-scrabble (functional) [default], iteration 60 started ======
====== rx-scrabble (functional) [default], iteration 60 completed (122.606 ms) ======
====== rx-scrabble (functional) [default], iteration 61 started ======
====== rx-scrabble (functional) [default], iteration 61 completed (123.418 ms) ======
====== rx-scrabble (functional) [default], iteration 62 started ======
