>>> Starting benchmark: scala-doku
>>> GC: ZGC
>>> Duration: 600s
>>> Base dir: ZGC-java25-2026-04-24
>>> Output dir: ZGC-java25-2026-04-24/scala-doku
WARNING: A terminally deprecated method in sun.misc.Unsafe has been called
WARNING: sun.misc.Unsafe::objectFieldOffset has been called by scala.runtime.LazyVals$ (resource:/shared/scala3-library_3-3.3.4.jar)
WARNING: Please consider reporting this to the maintainers of class scala.runtime.LazyVals$
WARNING: sun.misc.Unsafe::objectFieldOffset will be removed in a future release
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Pauses.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Pauses.
[jmx-memory plugin] WARNING: MXBean for young generation not found, using mock.
[jmx-memory plugin] WARNING: MXBean for old generation not found, using mock.
====== scala-doku (scala) [default], iteration 47 started ======
====== scala-doku (scala) [default], iteration 47 completed (2355.294 ms) ======
====== scala-doku (scala) [default], iteration 48 started ======
====== scala-doku (scala) [default], iteration 48 completed (2362.808 ms) ======
====== scala-doku (scala) [default], iteration 49 started ======
====== scala-doku (scala) [default], iteration 49 completed (2353.376 ms) ======
====== scala-doku (scala) [default], iteration 50 started ======
====== scala-doku (scala) [default], iteration 50 completed (2358.194 ms) ======
====== scala-doku (scala) [default], iteration 51 started ======
====== scala-doku (scala) [default], iteration 51 completed (2365.038 ms) ======
====== scala-doku (scala) [default], iteration 52 started ======
====== scala-doku (scala) [default], iteration 52 completed (2372.356 ms) ======
====== scala-doku (scala) [default], iteration 53 started ======
====== scala-doku (scala) [default], iteration 53 completed (2282.350 ms) ======
====== scala-doku (scala) [default], iteration 54 started ======
====== scala-doku (scala) [default], iteration 54 completed (2363.582 ms) ======
====== scala-doku (scala) [default], iteration 55 started ======
====== scala-doku (scala) [default], iteration 55 completed (2366.826 ms) ======
====== scala-doku (scala) [default], iteration 56 started ======
====== scala-doku (scala) [default], iteration 56 completed (2380.195 ms) ======
====== scala-doku (scala) [default], iteration 57 started ======
====== scala-doku (scala) [default], iteration 57 completed (2368.461 ms) ======
====== scala-doku (scala) [default], iteration 58 started ======
====== scala-doku (scala) [default], iteration 58 completed (2363.253 ms) ======
====== scala-doku (scala) [default], iteration 59 started ======
====== scala-doku (scala) [default], iteration 59 completed (2377.924 ms) ======
====== scala-doku (scala) [default], iteration 60 started ======
====== scala-doku (scala) [default], iteration 60 completed (2367.403 ms) ======
====== scala-doku (scala) [default], iteration 61 started ======
====== scala-doku (scala) [default], iteration 61 completed (2368.833 ms) ======
====== scala-doku (scala) [default], iteration 62 started ======
====== scala-doku (scala) [default], iteration 62 completed (2405.894 ms) ======
====== scala-doku (scala) [default], iteration 63 started ======
====== scala-doku (scala) [default], iteration 63 completed (2363.585 ms) ======
====== scala-doku (scala) [default], iteration 64 started ======
====== scala-doku (scala) [default], iteration 64 completed (2378.740 ms) ======
====== scala-doku (scala) [default], iteration 65 started ======
====== scala-doku (scala) [default], iteration 65 completed (2361.147 ms) ======
====== scala-doku (scala) [default], iteration 66 started ======
====== scala-doku (scala) [default], iteration 66 completed (2367.565 ms) ======
====== scala-doku (scala) [default], iteration 67 started ======
====== scala-doku (scala) [default], iteration 67 completed (2352.498 ms) ======
====== scala-doku (scala) [default], iteration 68 started ======
====== scala-doku (scala) [default], iteration 68 completed (2360.969 ms) ======
====== scala-doku (scala) [default], iteration 69 started ======
====== scala-doku (scala) [default], iteration 69 completed (2362.237 ms) ======
====== scala-doku (scala) [default], iteration 70 started ======
====== scala-doku (scala) [default], iteration 70 completed (2398.371 ms) ======
====== scala-doku (scala) [default], iteration 71 started ======
====== scala-doku (scala) [default], iteration 71 completed (2361.105 ms) ======
====== scala-doku (scala) [default], iteration 72 started ======
====== scala-doku (scala) [default], iteration 72 completed (2360.681 ms) ======
====== scala-doku (scala) [default], iteration 73 started ======
====== scala-doku (scala) [default], iteration 73 completed (2355.700 ms) ======
====== scala-doku (scala) [default], iteration 74 started ======
====== scala-doku (scala) [default], iteration 74 completed (2356.278 ms) ======
====== scala-doku (scala) [default], iteration 75 started ======
====== scala-doku (scala) [default], iteration 75 completed (2351.542 ms) ======
====== scala-doku (scala) [default], iteration 76 started ======
====== scala-doku (scala) [default], iteration 76 completed (2361.264 ms) ======
====== scala-doku (scala) [default], iteration 77 started ======
====== scala-doku (scala) [default], iteration 77 completed (2359.331 ms) ======
====== scala-doku (scala) [default], iteration 78 started ======
====== scala-doku (scala) [default], iteration 78 completed (2390.211 ms) ======
====== scala-doku (scala) [default], iteration 79 started ======
====== scala-doku (scala) [default], iteration 79 completed (2356.868 ms) ======
====== scala-doku (scala) [default], iteration 80 started ======
====== scala-doku (scala) [default], iteration 80 completed (2370.433 ms) ======
====== scala-doku (scala) [default], iteration 81 started ======
====== scala-doku (scala) [default], iteration 81 completed (2351.111 ms) ======
====== scala-doku (scala) [default], iteration 82 started ======
====== scala-doku (scala) [default], iteration 82 completed (2356.034 ms) ======
====== scala-doku (scala) [default], iteration 83 started ======
====== scala-doku (scala) [default], iteration 83 completed (2357.901 ms) ======
====== scala-doku (scala) [default], iteration 84 started ======
====== scala-doku (scala) [default], iteration 84 completed (2363.073 ms) ======
====== scala-doku (scala) [default], iteration 85 started ======
====== scala-doku (scala) [default], iteration 85 completed (2350.678 ms) ======
====== scala-doku (scala) [default], iteration 86 started ======
====== scala-doku (scala) [default], iteration 86 completed (2386.492 ms) ======
====== scala-doku (scala) [default], iteration 87 started ======
====== scala-doku (scala) [default], iteration 87 completed (2366.165 ms) ======
====== scala-doku (scala) [default], iteration 88 started ======
====== scala-doku (scala) [default], iteration 88 completed (2361.700 ms) ======
====== scala-doku (scala) [default], iteration 89 started ======
====== scala-doku (scala) [default], iteration 89 completed (2356.752 ms) ======
====== scala-doku (scala) [default], iteration 90 started ======
====== scala-doku (scala) [default], iteration 90 completed (2378.546 ms) ======
====== scala-doku (scala) [default], iteration 91 started ======
====== scala-doku (scala) [default], iteration 91 completed (2358.969 ms) ======
====== scala-doku (scala) [default], iteration 92 started ======
====== scala-doku (scala) [default], iteration 92 completed (2353.118 ms) ======
====== scala-doku (scala) [default], iteration 93 started ======
====== scala-doku (scala) [default], iteration 93 completed (2383.038 ms) ======
====== scala-doku (scala) [default], iteration 94 started ======
====== scala-doku (scala) [default], iteration 94 completed (2379.602 ms) ======
====== scala-doku (scala) [default], iteration 95 started ======
====== scala-doku (scala) [default], iteration 95 completed (2358.883 ms) ======
====== scala-doku (scala) [default], iteration 96 started ======
====== scala-doku (scala) [default], iteration 96 completed (2358.699 ms) ======
====== scala-doku (scala) [default], iteration 97 started ======
====== scala-doku (scala) [default], iteration 97 completed (2353.433 ms) ======
